year,month, day,hour,min,sec
2023,2,6,1,36,27.6798
2023,2,6,1,40,55.6723
2023,2,6,1,41,12.9621
2023,2,6,1,50,8.1384
2023,2,6,1,51,20.0369
2023,2,6,1,51,42.9215
2023,2,6,1,58,22.8341
2023,2,6,2,1,44.5814
2023,2,6,2,3,34.7653
2023,2,6,2,6,21.8818
2023,2,6,2,10,13.7847
2023,2,6,2,11,46.6613
2023,2,6,2,17,40.0686
2023,2,6,2,18,47.8617
2023,2,6,2,21,18.9189
2023,2,6,2,23,13.2375
2023,2,6,2,26,31.2898
2023,2,6,2,29,26.3567
2023,2,6,2,31,25.3626
2023,2,6,2,33,24.966
2023,2,6,2,34,16.0458
2023,2,6,2,37,1.5681
2023,2,6,2,38,42.92
2023,2,6,2,40,44.8322
2023,2,6,2,43,31.6086
2023,2,6,2,47,49.0361
2023,2,6,2,50,40.9634
2023,2,6,2,53,45.4252
2023,2,6,2,53,59.4802
2023,2,6,2,55,7.4058
2023,2,6,2,56,35.0484
2023,2,6,3,1,12.1694
2023,2,6,3,3,20.012
2023,2,6,3,4,42.9202
2023,2,6,3,7,43.4626
2023,2,6,3,10,18.5672
2023,2,6,3,11,38.1763
2023,2,6,3,12,11.8022
2023,2,6,3,16,13.8064
2023,2,6,3,22,43.3815
2023,2,6,3,24,28.9037
2023,2,6,3,28,43.3561
2023,2,6,3,34,45.6701
2023,2,6,3,36,18.7763
2023,2,6,3,43,8.9346
2023,2,6,3,45,46.728
2023,2,6,3,46,54.6777
2023,2,6,3,49,27.1882
2023,2,6,3,56,51.3751
2023,2,6,3,58,18.5457
2023,2,6,4,1,14.3883
2023,2,6,4,3,27.6478
2023,2,6,4,5,14.9378
2023,2,6,4,5,56.8425
2023,2,6,4,7,8.2296
2023,2,6,4,10,44.293
2023,2,6,4,11,40.3082
2023,2,6,4,13,36.6731
2023,2,6,4,14,15.6589
2023,2,6,4,16,48.9175
2023,2,6,4,18,44.3993
2023,2,6,4,24,43.5398
2023,2,6,4,26,27.5092
2023,2,6,4,27,47.0478
2023,2,6,4,31,1.2769
2023,2,6,4,31,7.3965
2023,2,6,4,31,7.3378
2023,2,6,4,34,51.5367
2023,2,6,4,37,45.3562
2023,2,6,4,39,44.5915
2023,2,6,4,41,38.7148
2023,2,6,4,41,38.6481
2023,2,6,4,42,16.332
2023,2,6,4,45,1.2545
2023,2,6,4,46,35.3824
2023,2,6,4,48,19.6911
2023,2,6,4,54,40.2822
2023,2,6,4,56,3.8482
2023,2,6,4,58,6.933
2023,2,6,5,0,2.9017
2023,2,6,5,1,48.3142
2023,2,6,5,3,50.8698
2023,2,6,5,6,30.6779
2023,2,6,5,8,36.1526
2023,2,6,5,12,10.0855
2023,2,6,5,12,49.5382
2023,2,6,5,15,31.6504
2023,2,6,5,16,54.0654
2023,2,6,5,17,56.0391
2023,2,6,5,19,46.5279
2023,2,6,5,21,43.4277
2023,2,6,5,22,51.6571
2023,2,6,5,22,49.9161
2023,2,6,5,25,18.0389
2023,2,6,5,26,37.4294
2023,2,6,5,30,13.9247
2023,2,6,5,31,21.8307
2023,2,6,5,32,10.5106
2023,2,6,5,33,8.7799
2023,2,6,5,36,32.6055
2023,2,6,5,39,21.8729
2023,2,6,5,40,35.6424
2023,2,6,5,41,38.3393
2023,2,6,5,43,0.7217
2023,2,6,5,44,54.7837
2023,2,6,5,47,8.6061
2023,2,6,5,48,31.9577
2023,2,6,5,49,26.7815
2023,2,6,5,50,23.0375
2023,2,6,5,51,22.2677
2023,2,6,5,52,4.4953
2023,2,6,5,54,1.4678
2023,2,6,5,55,48.963
2023,2,6,6,0,4.7228
2023,2,6,6,1,42.9218
2023,2,6,6,4,8.3898
2023,2,6,6,7,0.1803
2023,2,6,6,8,55.4669
2023,2,6,6,9,1.0308
2023,2,6,6,9,10.0485
2023,2,6,6,12,34.7881
2023,2,6,6,13,4.896
2023,2,6,6,13,5.6071
2023,2,6,6,14,6.0588
2023,2,6,6,14,38.0825
2023,2,6,6,16,19.2458
2023,2,6,6,17,59.1335
2023,2,6,6,20,10.9848
2023,2,6,6,20,34.4722
2023,2,6,6,20,59.7442
2023,2,6,6,21,36.935
2023,2,6,6,21,36.3684
2023,2,6,6,26,28.0597
2023,2,6,6,27,50.448
2023,2,6,6,29,16.6707
2023,2,6,6,34,53.9076
2023,2,6,6,31,38.7475
2023,2,6,6,32,3.6289
2023,2,6,6,33,19.1746
2023,2,6,6,34,7.8976
2023,2,6,6,36,48.2106
2023,2,6,6,38,9.0099
2023,2,6,6,39,52.3486
2023,2,6,6,43,9.8052
2023,2,6,6,43,26.6938
2023,2,6,6,48,38.8936
2023,2,6,6,49,41.8294
2023,2,6,6,51,0.0758
2023,2,6,6,51,2.4482
2023,2,6,6,51,1.6847
2023,2,6,6,51,38.3332
2023,2,6,6,53,58.7002
2023,2,6,6,53,58.4712
2023,2,6,6,54,56.4464
2023,2,6,6,59,4.4768
2023,2,6,7,2,45.1504
2023,2,6,7,4,7.2004
2023,2,6,7,8,30.78
2023,2,6,7,12,9.7982
2023,2,6,7,19,27.9464
2023,2,6,7,21,4.5994
2023,2,6,7,25,50.8715
2023,2,6,7,26,57.2191
2023,2,6,7,27,26.2523
2023,2,6,7,29,0.0366
2023,2,6,7,31,1.2471
2023,2,6,7,32,34.4445
2023,2,6,7,33,56.8331
2023,2,6,7,35,35.4889
2023,2,6,7,38,43.6512
2023,2,6,7,41,12.7461
2023,2,6,7,43,11.0602
2023,2,6,7,47,35.4524
2023,2,6,7,49,8.285
2023,2,6,7,50,30.3947
2023,2,6,7,53,12.4464
2023,2,6,8,2,13.6861
2023,2,6,8,4,41.1287
2023,2,6,8,8,38.7034
2023,2,6,8,12,49.6124
2023,2,6,8,17,5.2404
2023,2,6,8,21,35.0287
2023,2,6,8,25,49.5165
2023,2,6,8,29,26.5683
2023,2,6,8,36,5.3416
2023,2,6,8,38,22.9651
2023,2,6,8,40,19.3538
2023,2,6,8,44,40.9695
2023,2,6,8,45,32.8299
2023,2,6,8,47,0.7506
2023,2,6,8,51,0.8829
2023,2,6,8,52,36.563
2023,2,6,8,58,34.0364
2023,2,6,9,1,34.2929
2023,2,6,9,3,26.8127
2023,2,6,9,5,51.1154
2023,2,6,9,8,43.0239
2023,2,6,9,10,18.7277
2023,2,6,9,11,42.7278
2023,2,6,9,14,38.9993
2023,2,6,9,21,0.1159
2023,2,6,9,23,44.5779
2023,2,6,9,30,56.4361
2023,2,6,9,32,14.154
2023,2,6,9,35,59.0711
2023,2,6,9,36,15.3711
2023,2,6,9,43,16.3617
2023,2,6,9,43,50.9962
2023,2,6,9,48,42.7548
2023,2,6,9,50,23.28
2023,2,6,9,54,20.544
2023,2,6,9,57,17.772
2023,2,6,9,58,27.6528
2023,2,6,10,0,9.9504
2023,2,6,10,1,27.4084
2023,2,6,10,7,31.2441
2023,2,6,10,12,14.437
2023,2,6,10,14,54.7481
2023,2,6,10,21,37.8007
2023,2,6,10,24,47.0662
2023,2,6,10,26,45.8657
2023,2,6,10,32,7.8558
2023,2,6,10,33,41.4339
2023,2,6,10,34,46.997
2023,2,6,10,35,57.3039
2023,2,6,10,38,55.8808
2023,2,6,10,41,13.2106
2023,2,6,10,42,39.282
2023,2,6,10,43,24.4152
2023,2,6,10,46,55.2789
2023,2,6,10,51,30.0626
2023,2,6,10,54,35.6285
2023,2,6,10,55,4.4137
2023,2,6,10,56,23.0231
2023,2,6,11,0,50.4151
2023,2,6,11,1,34.4083
2023,2,6,11,4,35.4002
2023,2,6,11,5,35.5249
2023,2,6,11,11,38.8392
2023,2,6,11,13,43.4862
2023,2,6,11,16,40.3007
2023,2,6,11,20,21.0006
2023,2,6,11,21,52.0212
2023,2,6,11,25,53.2868
2023,2,6,11,27,58.5141
2023,2,6,11,30,42.8259
2023,2,6,11,34,17.135
2023,2,6,11,35,25.7449
2023,2,6,11,39,41.0022
2023,2,6,11,43,45.4935
2023,2,6,11,44,6.1522
2023,2,6,11,47,33.1359
2023,2,6,11,48,49.9096
2023,2,6,11,49,36.012
2023,2,6,11,50,4.5075
2023,2,6,11,55,56.8922
2023,2,6,11,58,35.1452
2023,2,6,12,0,43.9933
2023,2,6,12,2,11.4649
2023,2,6,12,11,0.8326
2023,2,6,12,13,11.3944
2023,2,6,12,13,45.1448
2023,2,6,12,16,26.382
2023,2,6,12,19,8.5477
2023,2,6,12,21,17.7909
2023,2,6,12,27,46.3828
2023,2,6,12,28,38.2667
2023,2,6,12,32,45.4814
2023,2,6,12,34,41.0256
2023,2,6,12,36,35.3549
2023,2,6,12,36,43.9715
